Journal Title,JIF,JIF5Years
20 ET 21-REVUE D HISTOIRE,<0.1,<0.1
2D MATERIALS,4.5,5.4
3 BIOTECH,2.6,2.9
3C EMPRESA,1.2,0.6
3C TECNOLOGIA,0.9,0.5
3C TIC,0.9,0.5
3D PRINTING AND ADDITIVE MANUFACTURING,2.3,3.5
3D PRINTING IN MEDICINE,3.2,N/A
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,0.6,0.7
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,0.1,<0.1
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,1.7,2
A and A PRACTICE,0.5,0.5
A + U-ARCHITECTURE AND URBANISM,<0.1,<0.1
AandC-REVISTA DE DIREITO ADMINISTRATIVO and CONSTITUCIONAL,0.2,0.3
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0.1,0.2
AACN ADVANCED CRITICAL CARE,2,1.6
AAPG BULLETIN,2.7,3.4
AAPS JOURNAL,5,4.1
AAPS PHARMSCITECH,3.4,3.5
AATCC JOURNAL OF RESEARCH,0.6,0.8
AATCC REVIEW,<0.1,0.2
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,0.4,0.4
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,2.5,2.8
ABAKOS,0.1,0.1
ABANICO VETERINARIO,0.3,0.4
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,1.9,1.5
ABDOMINAL RADIOLOGY,2.3,2.6
ABE JOURNAL,0.2,0.3
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0.4,0.4
ABIOTECH,4.6,4.5
ABORIGINAL HISTORY,0.4,0.5
ABORIGINAL POLICY STUDIES,0.4,0.6
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,0.1,0.1
ACADEMIA Y VIRTUALIDAD,0.5,0.4
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,1.3,1.5
ACADEMIC EMERGENCY MEDICINE,3.4,3.5
ACADEMIC JOURNAL OF MODERN PHILOLOGY,0.1,0.1
ACADEMIC MEDICINE,5.3,6.7
ACADEMIC PATHOLOGY,1.2,1.2
ACADEMIC PEDIATRICS,3,3.2
ACADEMIC PSYCHIATRY,2.2,2.5
ACADEMIC RADIOLOGY,3.8,3.7
ACADEMY OF MANAGEMENT ANNALS,14.3,25.1
ACADEMY OF MANAGEMENT DISCOVERIES,4.3,6.6
ACADEMY OF MANAGEMENT JOURNAL,9.5,13.6
ACADEMY OF MANAGEMENT LEARNING and EDUCATION,4.8,5.3
ACADEMY OF MANAGEMENT PERSPECTIVES,7.2,9.3
ACADEMY OF MANAGEMENT REVIEW,19.3,17.1
ACADEMY REVIEW,0.2,N/A
ACADIENSIS,0.1,0.3
ACAROLOGIA,0.9,1.1
ACCESS TO JUSTICE IN EASTERN EUROPE,0.7,0.6
ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY,0.8,1.1
ACCIDENT ANALYSIS AND PREVENTION,5.7,5.9
ACCION PSICOLOGICA,0.4,0.4
ACCIONES E INVESTIGACIONES SOCIALES,0.5,0.3
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,2.8,3.5
ACCOUNTING AND BUSINESS RESEARCH,2,2.8
ACCOUNTING AND FINANCE,3.1,3.3
ACCOUNTING AUDITING and ACCOUNTABILITY JOURNAL,4.6,5.7
ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,0.9,1.2
ACCOUNTING EDUCATION,2.5,3.5
ACCOUNTING FORUM,2.8,4
ACCOUNTING HISTORIANS JOURNAL,1.2,0.8
ACCOUNTING HISTORY,1.7,1.6
ACCOUNTING HISTORY REVIEW,0.8,1.2
ACCOUNTING HORIZONS,2.2,3.2
